country,color
Congo,#8dd3c7
Micronesia,#ffffb3
Palestine,#bebada
Afghanistan,#fb8072
Albania,#80b1d3
Algeria,#fdb462
American Samoa,#b3de69
Andorra,#fccde5
Angola,#d9d9d9
Anguilla,#bc80bd
Antarctica,#ccebc5
Antigua and Barbuda,#ffed6f
Argentina,#8dd3c7
Armenia,#ffffb3
Aruba,#bebada
Australia,#fb8072
Austria,#80b1d3
Azerbaijan,#fdb462
Bahamas,#b3de69
Bahrain,#fccde5
Bangladesh,#d9d9d9
Barbados,#bc80bd
Belarus,#ccebc5
Belgium,#ffed6f
Belize,#8dd3c7
Benin,#ffffb3
Bermuda,#bebada
Bhutan,#fb8072
Bolivia,#80b1d3
Bosnia and Herzegovina,#fdb462
Botswana,#b3de69
Bouvet Island,#fccde5
Brazil,#d9d9d9
British Indian Ocean Territory,#bc80bd
Brunei Darussalam,#ccebc5
Bulgaria,#ffed6f
Burkina Faso,#8dd3c7
Burundi,#ffffb3
Cambodia,#bebada
Cameroon,#fb8072
Canada,#80b1d3
Cape Verde,#fdb462
Caribbean Netherlands ,#b3de69
Cayman Islands,#fccde5
Central African Republic,#d9d9d9
Chad,#bc80bd
Chile,#ccebc5
China,#ffed6f
Christmas Island,#8dd3c7
Cocos (Keeling) Islands,#ffffb3
Colombia,#bebada
Comoros,#fb8072
Congo,#80b1d3
Cook Islands,#fdb462
Costa Rica,#b3de69
Croatia,#fccde5
Cuba,#d9d9d9
Cura�ao,#bc80bd
Cyprus,#ccebc5
Czech Republic,#ffed6f
C�te d'Ivoire,#8dd3c7
Denmark,#ffffb3
Djibouti,#bebada
Dominica,#fb8072
Dominican Republic,#80b1d3
Ecuador,#fdb462
Egypt,#b3de69
El Salvador,#fccde5
English Name,#d9d9d9
Equatorial Guinea,#bc80bd
Eritrea,#ccebc5
Estonia,#ffed6f
Ethiopia,#8dd3c7
Falkland Islands,#ffffb3
Faroe Islands,#bebada
Fiji,#fb8072
Finland,#80b1d3
France,#fdb462
French Guiana,#b3de69
French Polynesia,#fccde5
French Southern Territories,#d9d9d9
Gabon,#bc80bd
Gambia,#ccebc5
Georgia,#ffed6f
Germany,#8dd3c7
Ghana,#ffffb3
Gibraltar,#bebada
Greece,#fb8072
Greenland,#80b1d3
Grenada,#fdb462
Guadeloupe,#b3de69
Guam,#fccde5
Guatemala,#d9d9d9
Guernsey,#bc80bd
Guinea,#ccebc5
Guinea-Bissau,#ffed6f
Guyana,#8dd3c7
Haiti,#ffffb3
Heard and McDonald Islands,#bebada
Honduras,#fb8072
Hong Kong,#80b1d3
Hungary,#fdb462
Iceland,#b3de69
India,#fccde5
Indonesia,#d9d9d9
Iran,#bc80bd
