who,overlap,years,color
Argentina,Kenya,1,#333333
Argentina,Netherlands,2,#333333
Argentina,Peru,2,#333333
Argentina,Ecuador,1,#333333
Argentina,Denmark,1,#333333
Argentina,Scotland,1,#333333
Argentina,USA,2,#333333
Argentina,France,1,#333333
Argentina,Canada,1,#333333
Argentina,Mexico,1,#333333
Australia,Scotland,3,#333333
Australia,England,2,#333333
Australia,Cameroon,2,#333333
Australia,Nigeria,2,#333333
Australia,Malawi,1,#333333
Australia,Zimbabwe,1,#333333
Australia,Colombia,2,#333333
Australia,China,5,#333333
Australia,Mexico,5,#333333
Australia,Sri Lanka,2,#333333
Australia,Philippines,5,#333333
Australia,New Caledonia,1,#333333
Australia,Bangladesh,1,#333333
Australia,India,2,#333333
Australia,Pakistan,1,#333333
Australia,Thailand,1,#333333
Australia,Kenya,2,#333333
Australia,USA,2,#333333
Australia,Germany,3,#333333
Australia,Ethiopia,2,#333333
Australia,Japan,1,#333333
Australia,Iran,1,#333333
Austria,Mexico,2,#333333
Austria,USA,2,#333333
Austria,Ghana,1,#333333
Austria,Thailand,1,#333333
Austria,England,1,#333333
Austria,Switzerland,1,#333333
Austria,Netherlands,1,#333333
Austria,Colombia,1,#333333
Austria,Denmark,1,#333333
Austria,Sweden,1,#333333
Austria,Philippines,1,#333333
Bangladesh,Philippines,1,#333333
Bangladesh,India,2,#333333
Bangladesh,Denmark,1,#333333
Bangladesh,Syria,1,#333333
Bangladesh,Australia,1,#333333
Bangladesh,China,1,#333333
Bangladesh,Pakistan,1,#333333
Bangladesh,USA,1,#333333
Bangladesh,Wales,1,#333333
Bangladesh,Nepal,1,#333333
Belgium,Kenya,6,#333333
Belgium,Vietnam,1,#333333
Belgium,Cambodia,1,#333333
Belgium,Sri Lanka,2,#333333
Belgium,Benin,1,#333333
Belgium,South Africa,3,#333333
Belgium,England,2,#333333
Belgium,Switzerland,1,#333333
Belgium,Denmark,1,#333333
Belgium,Ghana,1,#333333
Belgium,Senegal,1,#333333
Belgium,Philippines,1,#333333
Belgium,China,2,#333333
Belgium,Gambia,2,#333333
Belgium,Burkina Faso,2,#333333
Belgium,Mexico,2,#333333
Belgium,Uganda,2,#333333
Belgium,Cameroon,2,#333333
Belgium,Nigeria,1,#333333
Belgium,Laos,1,#333333
Belgium,Malawi,1,#333333
Belgium,Colombia,1,#333333
Belgium,Luxembourg,1,#333333
Belgium,Peru,1,#333333
Benin,South Africa,4,#333333
Benin,Nigeria,2,#333333
Benin,Belgium,1,#333333
Benin,Netherlands,3,#333333
Benin,Brazil,3,#333333
Benin,France,4,#333333
Benin,Malawi,1,#333333
Benin,Mozambique,1,#333333
Benin,USA,2,#333333
Benin,Burkina Faso,1,#333333
Benin,England,2,#333333
Benin,Switzerland,1,#333333
Brazil,USA,1,#333333
Brazil,Canada,1,#333333
Brazil,Indonesia,3,#333333
Brazil,Benin,3,#333333
Brazil,France,4,#333333
Brazil,Malawi,1,#333333
Brazil,Mozambique,1,#333333
Brazil,Norway,1,#333333
Brazil,Netherlands,1,#333333
Brazil,Cameroon,1,#333333
Brazil,Colombia,2,#333333
Brazil,Germany,1,#333333
Brazil,Scotland,1,#333333
Brazil,Taiwan,1,#333333
Brazil,England,1,#333333
Brazil,Switzerland,1,#333333
Burkina Faso,Cote Ivoire,1,#333333
Burkina Faso,France,2,#333333
Burkina Faso,Tanzania,1,#333333
Burkina Faso,Germany,1,#333333
Burkina Faso,Togo,2,#333333
Burkina Faso,Mali,1,#333333
Burkina Faso,Gambia,2,#333333
Burkina Faso,Belgium,2,#333333
Burkina Faso,Benin,1,#333333
Burkina Faso,Senegal,2,#333333
Burkina Faso,Kenya,1,#333333
Cambodia,Belgium,1,#333333
Cambodia,Vietnam,1,#333333
Cambodia,Sri Lanka,1,#333333
Cameroon,Scotland,2,#333333
Cameroon,Australia,2,#333333
Cameroon,England,3,#333333
Cameroon,Nigeria,2,#333333
Cameroon,France,4,#333333
Cameroon,Indonesia,1,#333333
Cameroon,USA,1,#333333
Cameroon,Wales,1,#333333
Cameroon,Germany,2,#333333
Cameroon,Colombia,2,#333333
Cameroon,Spain,1,#333333
Cameroon,Switzerland,1,#333333
Cameroon,Gabon,1,#333333
Cameroon,Congo,1,#333333
Cameroon,Cent Afr Republ,1,#333333
Cameroon,Belgium,2,#333333
Cameroon,Uganda,2,#333333
Cameroon,Brazil,1,#333333
Cameroon,Malawi,1,#333333
Cameroon,Mexico,1,#333333
Canada,USA,6,#333333
Canada,Thailand,1,#333333
Canada,Mexico,4,#333333
Canada,Zimbabwe,1,#333333
Canada,Ghana,1,#333333
Canada,Brazil,1,#333333
Canada,Indonesia,1,#333333
Canada,Peru,1,#333333
Canada,Ecuador,1,#333333
Canada,Denmark,2,#333333
Canada,Argentina,1,#333333
Canada,Scotland,1,#333333
Canada,France,1,#333333
Canada,Netherlands,1,#333333
Canada,Colombia,1,#333333
Canada,Kenya,2,#333333
Canada,England,2,#333333
Canada,Philippines,1,#333333
Canada,Nigeria,1,#333333
Canada,Ethiopia,1,#333333
Cent Afr Republ,Spain,1,#333333
Cent Afr Republ,France,1,#333333
Cent Afr Republ,Switzerland,1,#333333
Cent Afr Republ,Cameroon,1,#333333
Cent Afr Republ,Gabon,1,#333333
Cent Afr Republ,Congo,1,#333333
Chile,Denmark,1,#333333
Chile,Peru,1,#333333
China,USA,8,#333333
China,Kenya,1,#333333
China,Mongol Peo Rep,1,#333333
China,Russia,1,#333333
China,Philippines,15,#333333
China,Mexico,7,#333333
China,Japan,2,#333333
China,Australia,5,#333333
China,Belgium,2,#333333
China,Colombia,1,#333333
China,Netherlands,1,#333333
China,Bangladesh,1,#333333
China,India,4,#333333
China,Pakistan,1,#333333
China,Germany,1,#333333
China,Laos,1,#333333
Colombia,Guatemala,1,#333333
Colombia,Spain,3,#333333
Colombia,England,4,#333333
Colombia,France,5,#333333
Colombia,Germany,6,#333333
Colombia,Australia,2,#333333
Colombia,Denmark,3,#333333
Colombia,Canada,1,#333333
Colombia,India,2,#333333
Colombia,USA,7,#333333
Colombia,China,1,#333333
Colombia,Cameroon,2,#333333
Colombia,Kenya,2,#333333
Colombia,Italy,1,#333333
Colombia,Nigeria,1,#333333
Colombia,Vietnam,1,#333333
Colombia,Brazil,2,#333333
Colombia,Scotland,1,#333333
Colombia,Taiwan,1,#333333
Colombia,Ecuador,2,#333333
Colombia,Belgium,1,#333333
Colombia,Ethiopia,1,#333333
Colombia,Mexico,1,#333333
Colombia,Switzerland,1,#333333
Colombia,Netherlands,1,#333333
Colombia,Austria,1,#333333
Colombia,Sweden,1,#333333
Colombia,Philippines,1,#333333
Congo,Spain,1,#333333
Congo,France,1,#333333
Congo,Switzerland,1,#333333
Congo,Cameroon,1,#333333
Congo,Gabon,1,#333333
Congo,Cent Afr Republ,1,#333333
Costa Rica,Finland,2,#333333
Costa Rica,Indonesia,3,#333333
Cote Ivoire,Switzerland,1,#333333
Cote Ivoire,Burkina Faso,1,#333333
Cote Ivoire,France,1,#333333
Cote Ivoire,Tanzania,1,#333333
Cote Ivoire,Germany,1,#333333
Cote Ivoire,Niger,1,#333333
Cote Ivoire,Nigeria,1,#333333
Denmark,Peru,2,#333333
Denmark,Chile,1,#333333
Denmark,South Korea,1,#333333
Denmark,Philippines,3,#333333
Denmark,Sri Lanka,4,#333333
Denmark,Syria,2,#333333
Denmark,England,2,#333333
Denmark,Switzerland,2,#333333
Denmark,Belgium,1,#333333
Denmark,Ghana,1,#333333
Denmark,Senegal,1,#333333
Denmark,South Africa,1,#333333
Denmark,Colombia,3,#333333
Denmark,Ecuador,1,#333333
Denmark,Argentina,1,#333333
Denmark,Scotland,1,#333333
Denmark,USA,3,#333333
Denmark,France,1,#333333
Denmark,Canada,2,#333333
Denmark,Netherlands,2,#333333
Denmark,Mexico,2,#333333
Denmark,Bangladesh,1,#333333
Denmark,Nigeria,1,#333333
Denmark,Kenya,1,#333333
Denmark,Austria,1,#333333
Denmark,Sweden,1,#333333
Ecuador,Peru,4,#333333
Ecuador,USA,5,#333333
Ecuador,Denmark,1,#333333
Ecuador,Argentina,1,#333333
Ecuador,Scotland,1,#333333
Ecuador,France,1,#333333
Ecuador,Canada,1,#333333
Ecuador,Netherlands,1,#333333
Ecuador,Mexico,1,#333333
Ecuador,Israel,2,#333333
Ecuador,Colombia,2,#333333
England,Scotland,5,#333333
England,Australia,2,#333333
England,Cameroon,3,#333333
England,Nigeria,4,#333333
England,South Africa,2,#333333
England,Kenya,15,#333333
England,USA,15,#333333
England,Netherlands,4,#333333
England,France,3,#333333
England,Philippines,6,#333333
England,Spain,1,#333333
England,Colombia,4,#333333
England,Switzerland,3,#333333
England,Belgium,2,#333333
England,Sri Lanka,4,#333333
England,Denmark,2,#333333
England,Ghana,3,#333333
England,Senegal,1,#333333
England,Uganda,2,#333333
England,Rwanda,1,#333333
England,Ireland,1,#333333
England,Syria,1,#333333
England,India,1,#333333
England,Benin,2,#333333
England,Germany,2,#333333
England,Indonesia,1,#333333
England,Mexico,2,#333333
England,Vietnam,1,#333333
England,Pakistan,1,#333333
England,Canada,2,#333333
England,Brazil,1,#333333
England,Taiwan,1,#333333
England,Ethiopia,1,#333333
England,Austria,1,#333333
England,Sweden,1,#333333
Ethiopia,Germany,3,#333333
Ethiopia,Kenya,6,#333333
Ethiopia,Nigeria,4,#333333
Ethiopia,USA,1,#333333
Ethiopia,Australia,2,#333333
Ethiopia,England,1,#333333
Ethiopia,Canada,1,#333333
Ethiopia,Colombia,1,#333333
Finland,Costa Rica,2,#333333
Finland,Indonesia,2,#333333
Finland,Peru,1,#333333
France,Cameroon,4,#333333
France,Indonesia,2,#333333
France,South Africa,1,#333333
France,Kenya,4,#333333
France,USA,7,#333333
France,Netherlands,6,#333333
France,England,3,#333333
France,Philippines,3,#333333
France,Malaysia,2,#333333
France,Vietnam,3,#333333
