who,overlap,years,color
AfricaRice,Non-CGIAR,17,#333333
AfricaRice,IRRI,1,#333333
Bioversity International,Non-CGIAR,6,#333333
Bioversity International,IITA,4,#333333
Bioversity International,CIAT,2,#333333
Bioversity International,CIFOR,1,#333333
CCAFS,CIAT,2,#333333
CCAFS,Non-CGIAR,6,#333333
CCAFS,ILRI,1,#333333
CGIAR,CGIAR,1,#333333
CIAT,Non-CGIAR,65,#333333
CIAT,IFPRI,3,#333333
CIAT,CIMMYT,4,#333333
CIAT,ICRAF,4,#333333
CIAT,ILRI,4,#333333
CIAT,CCAFS,2,#333333
CIAT,ICARDA,2,#333333
CIAT,IITA,5,#333333
CIAT,Bioversity International,2,#333333
CIAT,ICRISAT,3,#333333
CIAT,IRRI,1,#333333
CIAT,CIAT,2,#333333
CIAT,IWMI,1,#333333
CIFOR,Non-CGIAR,48,#333333
CIFOR,CIFOR,6,#333333
CIFOR,IITA,3,#333333
CIFOR,IWMI,1,#333333
CIFOR,CIP,1,#333333
CIFOR,Bioversity International,1,#333333
CIFOR,ICRAF,1,#333333
CIFOR,ILRI,1,#333333
CIFOR,CIMMYT,1,#333333
CIMMYT,Non-CGIAR,134,#333333
CIMMYT,ILRI,5,#333333
CIMMYT,IFPRI,1,#333333
CIMMYT,CIAT,4,#333333
CIMMYT,IRRI,3,#333333
CIMMYT,ICARDA,8,#333333
CIMMYT,CIMMYT,8,#333333
CIMMYT,ICRISAT,8,#333333
CIMMYT,IITA,2,#333333
CIMMYT,CIFOR,1,#333333
CIP,Non-CGIAR,25,#333333
CIP,CIP,4,#333333
CIP,ICRISAT,1,#333333
CIP,RTB,1,#333333
CIP,CIFOR,1,#333333
CPWF,Non-CGIAR,1,#333333
Consortium,Non-CGIAR,1,#333333
HarvestPlus,Non-CGIAR,2,#333333
ICARDA,Non-CGIAR,42,#333333
ICARDA,IWMI,2,#333333
ICARDA,IRRI,1,#333333
ICARDA,CIMMYT,8,#333333
ICARDA,CIAT,2,#333333
ICARDA,ICARDA,3,#333333
ICARDA,ICRAF,1,#333333
ICARDA,ICRISAT,1,#333333
ICARDA,ILRI,1,#333333
ICARDA,IITA,1,#333333
ICRAF,Non-CGIAR,34,#333333
ICRAF,ICRAF,2,#333333
ICRAF,CIAT,4,#333333
ICRAF,ILRI,5,#333333
ICRAF,IITA,2,#333333
ICRAF,CIFOR,1,#333333
ICRAF,ICARDA,1,#333333
ICRAF,ICRISAT,1,#333333
ICRAF,IWMI,2,#333333
ICRISAT,Non-CGIAR,20,#333333
ICRISAT,ILRI,2,#333333
ICRISAT,IRRI,2,#333333
ICRISAT,IWMI,2,#333333
ICRISAT,CIMMYT,8,#333333
ICRISAT,CIP,1,#333333
ICRISAT,CIAT,3,#333333
ICRISAT,ICRISAT,5,#333333
ICRISAT,IITA,2,#333333
ICRISAT,ICARDA,1,#333333
ICRISAT,ICRAF,1,#333333
IFPRI,CIAT,3,#333333
IFPRI,IFPRI,28,#333333
IFPRI,Non-CGIAR,104,#333333
IFPRI,ILRI,5,#333333
IFPRI,CIMMYT,1,#333333
IFPRI,IWMI,1,#333333
IFPRI,WorldFish,1,#333333
IITA,Non-CGIAR,31,#333333
IITA,ILRI,3,#333333
IITA,IITA,2,#333333
IITA,CIFOR,3,#333333
IITA,Bioversity International,4,#333333
IITA,CIAT,5,#333333
IITA,CIMMYT,2,#333333
IITA,ICRAF,2,#333333
IITA,ICRISAT,2,#333333
IITA,RTB,1,#333333
IITA,ICARDA,1,#333333
IITA,IWMI,1,#333333
ILRI,CIMMYT,5,#333333
ILRI,IFPRI,5,#333333
ILRI,Non-CGIAR,74,#333333
ILRI,ILRI,6,#333333
ILRI,ICRISAT,2,#333333
ILRI,IITA,3,#333333
ILRI,ICRAF,5,#333333
ILRI,CIAT,4,#333333
ILRI,CCAFS,1,#333333
ILRI,CIFOR,1,#333333
ILRI,ICARDA,1,#333333
ILRI,IWMI,1,#333333
IRRI,Non-CGIAR,93,#333333
IRRI,IRRI,23,#333333
IRRI,IWMI,2,#333333
IRRI,ICARDA,1,#333333
IRRI,CIMMYT,3,#333333
IRRI,ICRISAT,2,#333333
IRRI,WorldFish,1,#333333
IRRI,CIAT,1,#333333
IRRI,AfricaRice,1,#333333
ISPC,Non-CGIAR,1,#333333
ISPC,SPIA,1,#333333
IWMI,Non-CGIAR,68,#333333
IWMI,IWMI,17,#333333
IWMI,ICARDA,2,#333333
IWMI,IRRI,2,#333333
IWMI,ICRISAT,2,#333333
IWMI,CIFOR,1,#333333
IWMI,IFPRI,1,#333333
IWMI,ICRAF,2,#333333
IWMI,CIAT,1,#333333
IWMI,ILRI,1,#333333
IWMI,IITA,1,#333333
Non-CGIAR,CIMMYT,134,#333333
Non-CGIAR,CIAT,65,#333333
Non-CGIAR,CIFOR,48,#333333
Non-CGIAR,IWMI,68,#333333
Non-CGIAR,IFPRI,104,#333333
Non-CGIAR,AfricaRice,17,#333333
Non-CGIAR,IRRI,93,#333333
