key,value,date
anthropology,2,01/10/00
anthropology,1,01/11/01
anthropology,0,01/12/02
anthropology,2,01/13/03
anthropology,4,01/14/04
anthropology,3,01/15/05
anthropology,3,01/16/06
anthropology,4,01/17/07
anthropology,4,01/18/08
anthropology,1,01/19/09
anthropology,3,01/20/10
anthropology,0,01/21/11
anthropology,2,01/22/12
anthropology,2,01/23/13
anthropology,5,01/24/14
anthropology,4,01/25/15
anthropology,3,01/26/16
biochemistry & molecular/cell biology,13,01/10/00
biochemistry & molecular/cell biology,8,01/11/01
biochemistry & molecular/cell biology,13,01/12/02
biochemistry & molecular/cell biology,17,01/13/03
biochemistry & molecular/cell biology,24,01/14/04
biochemistry & molecular/cell biology,29,01/15/05
biochemistry & molecular/cell biology,18,01/16/06
biochemistry & molecular/cell biology,13,01/17/07
biochemistry & molecular/cell biology,11,01/18/08
biochemistry & molecular/cell biology,15,01/19/09
biochemistry & molecular/cell biology,14,01/20/10
biochemistry & molecular/cell biology,20,01/21/11
biochemistry & molecular/cell biology,17,01/22/12
biochemistry & molecular/cell biology,7,01/23/13
biochemistry & molecular/cell biology,13,01/24/14
biochemistry & molecular/cell biology,25,01/25/15
biochemistry & molecular/cell biology,17,01/26/16
biodiversity & conservation,3,01/10/00
biodiversity & conservation,1,01/11/01
biodiversity & conservation,1,01/12/02
biodiversity & conservation,4,01/13/03
biodiversity & conservation,1,01/14/04
biodiversity & conservation,3,01/15/05
biodiversity & conservation,8,01/16/06
biodiversity & conservation,6,01/17/07
biodiversity & conservation,9,01/18/08
biodiversity & conservation,8,01/19/09
biodiversity & conservation,11,01/20/10
biodiversity & conservation,11,01/21/11
biodiversity & conservation,11,01/22/12
biodiversity & conservation,7,01/23/13
biodiversity & conservation,14,01/24/14
biodiversity & conservation,11,01/25/15
biodiversity & conservation,6,01/26/16
biotechnology & applied microbiology,16,01/10/00
biotechnology & applied microbiology,17,01/11/01
biotechnology & applied microbiology,10,01/12/02
biotechnology & applied microbiology,14,01/13/03
biotechnology & applied microbiology,16,01/14/04
biotechnology & applied microbiology,18,01/15/05
biotechnology & applied microbiology,34,01/16/06
biotechnology & applied microbiology,20,01/17/07
biotechnology & applied microbiology,32,01/18/08
biotechnology & applied microbiology,22,01/19/09
biotechnology & applied microbiology,35,01/20/10
biotechnology & applied microbiology,51,01/21/11
biotechnology & applied microbiology,18,01/22/12
biotechnology & applied microbiology,18,01/23/13
biotechnology & applied microbiology,14,01/24/14
biotechnology & applied microbiology,26,01/25/15
biotechnology & applied microbiology,23,01/26/16
business & economics,29,01/10/00
business & economics,44,01/11/01
business & economics,31,01/12/02
business & economics,60,01/13/03
business & economics,34,01/14/04
business & economics,42,01/15/05
business & economics,43,01/16/06
business & economics,53,01/17/07
business & economics,62,01/18/08
business & economics,48,01/19/09
business & economics,58,01/20/10
business & economics,77,01/21/11
business & economics,89,01/22/12
business & economics,86,01/23/13
business & economics,122,01/24/14
business & economics,131,01/25/15
business & economics,68,01/26/16
chemistry,12,01/10/00
chemistry,7,01/11/01
chemistry,6,01/12/02
chemistry,6,01/13/03
chemistry,7,01/14/04
chemistry,10,01/15/05
chemistry,12,01/16/06
chemistry,8,01/17/07
chemistry,11,01/18/08
chemistry,20,01/19/09
chemistry,12,01/20/10
chemistry,11,01/21/11
