key,value,date
Africa,6,01/10/13
Africa,8,01/11/13
Africa,7,01/12/13
Africa,9,01/13/13
Africa,11,01/14/13
Africa,17,01/15/13
Africa,16,01/16/13
Africa,17,01/17/13
Africa,25,01/18/13
Africa,22,01/19/13
Africa,42,01/20/13
Africa,40,01/21/13
Africa,34,01/22/13
Africa,38,01/23/13
Africa,36,01/24/13
Africa,54,01/25/13
Africa,41,01/26/13
Agriculture,1,01/10/13
Agriculture,3,01/11/13
Agriculture,3,01/12/13
Agriculture,5,01/13/13
Agriculture,7,01/14/13
Agriculture,5,01/15/13
Agriculture,7,01/16/13
Agriculture,7,01/17/13
Agriculture,8,01/18/13
Agriculture,10,01/19/13
Agriculture,19,01/20/13
Agriculture,13,01/21/13
Agriculture,18,01/22/13
Agriculture,26,01/23/13
Agriculture,27,01/24/13
Agriculture,35,01/25/13
Agriculture,30,01/26/13
Climate-change,0,01/10/13
Climate-change,0,01/11/13
Climate-change,0,01/12/13
Climate-change,0,01/13/13
Climate-change,4,01/14/13
Climate-change,1,01/15/13
Climate-change,0,01/16/13
Climate-change,4,01/17/13
Climate-change,9,01/18/13
Climate-change,6,01/19/13
Climate-change,12,01/20/13
Climate-change,22,01/21/13
Climate-change,22,01/22/13
Climate-change,34,01/23/13
Climate-change,27,01/24/13
Climate-change,41,01/25/13
Climate-change,35,01/26/13
Conservation,5,01/10/13
Conservation,2,01/11/13
Conservation,2,01/12/13
Conservation,4,01/13/13
Conservation,5,01/14/13
Conservation,11,01/15/13
Conservation,14,01/16/13
Conservation,12,01/17/13
Conservation,9,01/18/13
Conservation,20,01/19/13
Conservation,20,01/20/13
Conservation,23,01/21/13
Conservation,22,01/22/13
Conservation,33,01/23/13
Conservation,40,01/24/13
Conservation,39,01/25/13
Conservation,14,01/26/13
Cultivars,9,01/10/13
Cultivars,8,01/11/13
Cultivars,14,01/12/13
Cultivars,20,01/13/13
Cultivars,16,01/14/13
Cultivars,20,01/15/13
Cultivars,18,01/16/13
Cultivars,25,01/17/13
Cultivars,19,01/18/13
Cultivars,19,01/19/13
Cultivars,34,01/20/13
Cultivars,30,01/21/13
Cultivars,18,01/22/13
Cultivars,21,01/23/13
Cultivars,22,01/24/13
Cultivars,29,01/25/13
Cultivars,21,01/26/13
Diversity,6,01/10/13
Diversity,4,01/11/13
Diversity,11,01/12/13
Diversity,7,01/13/13
Diversity,7,01/14/13
Diversity,17,01/15/13
Diversity,22,01/16/13
Diversity,13,01/17/13
Diversity,16,01/18/13
Diversity,19,01/19/13
Diversity,24,01/20/13
Diversity,26,01/21/13
Diversity,27,01/22/13
Diversity,30,01/23/13
Diversity,22,01/24/13
Diversity,25,01/25/13
Diversity,19,01/26/13
Dynamics,6,01/10/13
Dynamics,7,01/11/13
Dynamics,14,01/12/13
Dynamics,10,01/13/13
Dynamics,11,01/14/13
Dynamics,14,01/15/13
Dynamics,16,01/16/13
Dynamics,11,01/17/13
Dynamics,17,01/18/13
Dynamics,17,01/19/13
Dynamics,14,01/20/13
Dynamics,21,01/21/13
Dynamics,12,01/22/13
Dynamics,18,01/23/13
Dynamics,19,01/24/13
Dynamics,19,01/25/13
Dynamics,10,01/26/13
Grain-yield,3,01/10/13
Grain-yield,3,01/11/13
Grain-yield,3,01/12/13
Grain-yield,7,01/13/13
Grain-yield,6,01/14/13
Grain-yield,9,01/15/13
Grain-yield,13,01/16/13
Grain-yield,20,01/17/13
Grain-yield,9,01/18/13
Grain-yield,19,01/19/13
Grain-yield,25,01/20/13
Grain-yield,15,01/21/13
Grain-yield,26,01/22/13
Grain-yield,22,01/23/13
Grain-yield,25,01/24/13
Grain-yield,36,01/25/13
Grain-yield,21,01/26/13
Growth,13,01/10/13
Growth,14,01/11/13
Growth,19,01/12/13
Growth,25,01/13/13
Growth,23,01/14/13
Growth,27,01/15/13
Growth,31,01/16/13
Growth,35,01/17/13
Growth,32,01/18/13
Growth,40,01/19/13
Growth,37,01/20/13
Growth,42,01/21/13
Growth,43,01/22/13
Growth,36,01/23/13
Growth,55,01/24/13
Growth,64,01/25/13
Growth,40,01/26/13
Identification,11,01/10/13
Identification,18,01/11/13
Identification,16,01/12/13
Identification,15,01/13/13
Identification,17,01/14/13
Identification,11,01/15/13
Identification,16,01/16/13
Identification,13,01/17/13
Identification,23,01/18/13
Identification,11,01/19/13
Identification,30,01/20/13
Identification,36,01/21/13
Identification,20,01/22/13
Identification,34,01/23/13
Identification,33,01/24/13
Identification,34,01/25/13
Identification,31,01/26/13
Impact,2,01/10/13
