key,value,date
Agriculture,1,01/01/00
Agriculture,3,01/01/01
Agriculture,3,01/01/02
Agriculture,5,01/01/03
Agriculture,7,01/01/04
Agriculture,5,01/01/05
Agriculture,7,01/01/06
Agriculture,7,01/01/07
Agriculture,8,01/01/08
Agriculture,10,01/01/09
Agriculture,19,01/01/10
Agriculture,13,01/01/11
Agriculture,18,01/01/12
Agriculture,26,01/01/13
Agriculture,27,01/01/14
Agriculture,35,01/01/15
Agriculture,30,01/01/16
Biodiversity,0,01/01/00
Biodiversity,2,01/01/01
Biodiversity,2,01/01/02
Biodiversity,4,01/01/03
Biodiversity,5,01/01/04
Biodiversity,5,01/01/05
Biodiversity,12,01/01/06
Biodiversity,4,01/01/07
Biodiversity,10,01/01/08
Biodiversity,9,01/01/09
Biodiversity,9,01/01/10
Biodiversity,14,01/01/11
Biodiversity,12,01/01/12
Biodiversity,12,01/01/13
Biodiversity,25,01/01/14
Biodiversity,20,01/01/15
Biodiversity,10,01/01/16
Climate-change,0,01/01/00
Climate-change,0,01/01/01
Climate-change,0,01/01/02
Climate-change,0,01/01/03
Climate-change,4,01/01/04
Climate-change,1,01/01/05
Climate-change,0,01/01/06
Climate-change,4,01/01/07
Climate-change,9,01/01/08
Climate-change,6,01/01/09
Climate-change,12,01/01/10
Climate-change,22,01/01/11
Climate-change,22,01/01/12
Climate-change,34,01/01/13
Climate-change,27,01/01/14
Climate-change,41,01/01/15
Climate-change,35,01/01/16
Conservation,5,01/01/00
Conservation,2,01/01/01
Conservation,2,01/01/02
Conservation,4,01/01/03
Conservation,5,01/01/04
Conservation,11,01/01/05
Conservation,14,01/01/06
Conservation,12,01/01/07
Conservation,9,01/01/08
Conservation,20,01/01/09
Conservation,20,01/01/10
Conservation,23,01/01/11
Conservation,22,01/01/12
Conservation,33,01/01/13
Conservation,40,01/01/14
Conservation,39,01/01/15
Conservation,14,01/01/16
Cultivars,9,01/01/00
Cultivars,8,01/01/01
Cultivars,14,01/01/02
Cultivars,20,01/01/03
Cultivars,16,01/01/04
Cultivars,20,01/01/05
Cultivars,18,01/01/06
Cultivars,25,01/01/07
Cultivars,19,01/01/08
Cultivars,19,01/01/09
Cultivars,34,01/01/10
Cultivars,30,01/01/11
Cultivars,18,01/01/12
Cultivars,21,01/01/13
Cultivars,22,01/01/14
Cultivars,29,01/01/15
Cultivars,21,01/01/16
Diversity,6,01/01/00
Diversity,4,01/01/01
Diversity,11,01/01/02
Diversity,7,01/01/03
Diversity,7,01/01/04
Diversity,17,01/01/05
Diversity,22,01/01/06
Diversity,13,01/01/07
Diversity,16,01/01/08
Diversity,19,01/01/09
Diversity,24,01/01/10
Diversity,26,01/01/11
Diversity,27,01/01/12
Diversity,30,01/01/13
Diversity,22,01/01/14
Diversity,25,01/01/15
Diversity,19,01/01/16
Dynamics,6,01/01/00
Dynamics,7,01/01/01
Dynamics,14,01/01/02
Dynamics,10,01/01/03
Dynamics,11,01/01/04
Dynamics,14,01/01/05
Dynamics,16,01/01/06
Dynamics,11,01/01/07
Dynamics,17,01/01/08
Dynamics,17,01/01/09
Dynamics,14,01/01/10
Dynamics,21,01/01/11
Dynamics,12,01/01/12
Dynamics,18,01/01/13
Dynamics,19,01/01/14
Dynamics,19,01/01/15
Dynamics,10,01/01/16
Grain-yield,3,01/01/00
Grain-yield,3,01/01/01
Grain-yield,3,01/01/02
Grain-yield,7,01/01/03
Grain-yield,6,01/01/04
Grain-yield,9,01/01/05
Grain-yield,13,01/01/06
Grain-yield,20,01/01/07
Grain-yield,9,01/01/08
Grain-yield,19,01/01/09
Grain-yield,25,01/01/10
Grain-yield,15,01/01/11
Grain-yield,26,01/01/12
Grain-yield,22,01/01/13
Grain-yield,25,01/01/14
Grain-yield,36,01/01/15
Grain-yield,21,01/01/16
Growth,13,01/01/00
Growth,14,01/01/01
Growth,19,01/01/02
Growth,25,01/01/03
Growth,23,01/01/04
Growth,27,01/01/05
Growth,31,01/01/06
Growth,35,01/01/07
Growth,32,01/01/08
Growth,40,01/01/09
Growth,37,01/01/10
Growth,42,01/01/11
Growth,43,01/01/12
Growth,36,01/01/13
Growth,55,01/01/14
Growth,64,01/01/15
Growth,40,01/01/16
Identification,11,01/01/00
Identification,18,01/01/01
Identification,16,01/01/02
Identification,15,01/01/03
Identification,17,01/01/04
Identification,11,01/01/05
Identification,16,01/01/06
Identification,13,01/01/07
Identification,23,01/01/08
