key,value,date
Agricultural Economics & Policy,17,01/01/00
Agricultural Economics & Policy,24,01/01/01
Agricultural Economics & Policy,12,01/01/02
Agricultural Economics & Policy,21,01/01/03
Agricultural Economics & Policy,14,01/01/04
Agricultural Economics & Policy,23,01/01/05
Agricultural Economics & Policy,28,01/01/06
Agricultural Economics & Policy,29,01/01/07
Agricultural Economics & Policy,29,01/01/08
Agricultural Economics & Policy,22,01/01/09
Agricultural Economics & Policy,20,01/01/10
Agricultural Economics & Policy,35,01/01/11
Agricultural Economics & Policy,29,01/01/12
Agricultural Economics & Policy,46,01/01/13
Agricultural Economics & Policy,54,01/01/14
Agricultural Economics & Policy,57,01/01/15
Agricultural Economics & Policy,24,01/01/16
Agriculture  Dairy & Animal Science,18,01/01/00
Agriculture  Dairy & Animal Science,17,01/01/01
Agriculture  Dairy & Animal Science,15,01/01/02
Agriculture  Dairy & Animal Science,28,01/01/03
Agriculture  Dairy & Animal Science,22,01/01/04
Agriculture  Dairy & Animal Science,17,01/01/05
Agriculture  Dairy & Animal Science,20,01/01/06
Agriculture  Dairy & Animal Science,23,01/01/07
Agriculture  Dairy & Animal Science,17,01/01/08
Agriculture  Dairy & Animal Science,28,01/01/09
Agriculture  Dairy & Animal Science,12,01/01/10
Agriculture  Dairy & Animal Science,34,01/01/11
Agriculture  Dairy & Animal Science,27,01/01/12
Agriculture  Dairy & Animal Science,20,01/01/13
Agriculture  Dairy & Animal Science,18,01/01/14
Agriculture  Dairy & Animal Science,20,01/01/15
Agriculture  Dairy & Animal Science,19,01/01/16
Agriculture  Multidisciplinary,27,01/01/00
Agriculture  Multidisciplinary,26,01/01/01
Agriculture  Multidisciplinary,40,01/01/02
Agriculture  Multidisciplinary,41,01/01/03
Agriculture  Multidisciplinary,43,01/01/04
Agriculture  Multidisciplinary,37,01/01/05
Agriculture  Multidisciplinary,70,01/01/06
Agriculture  Multidisciplinary,53,01/01/07
Agriculture  Multidisciplinary,42,01/01/08
Agriculture  Multidisciplinary,43,01/01/09
Agriculture  Multidisciplinary,51,01/01/10
Agriculture  Multidisciplinary,75,01/01/11
Agriculture  Multidisciplinary,56,01/01/12
Agriculture  Multidisciplinary,42,01/01/13
Agriculture  Multidisciplinary,53,01/01/14
Agriculture  Multidisciplinary,74,01/01/15
Agriculture  Multidisciplinary,58,01/01/16
Agronomy,102,01/01/00
Agronomy,155,01/01/01
Agronomy,136,01/01/02
Agronomy,174,01/01/03
Agronomy,134,01/01/04
Agronomy,151,01/01/05
Agronomy,193,01/01/06
Agronomy,167,01/01/07
Agronomy,182,01/01/08
Agronomy,229,01/01/09
Agronomy,174,01/01/10
Agronomy,208,01/01/11
Agronomy,216,01/01/12
Agronomy,205,01/01/13
Agronomy,185,01/01/14
Agronomy,218,01/01/15
Agronomy,151,01/01/16
Biochemistry & Molecular Biology,12,01/01/00
Biochemistry & Molecular Biology,5,01/01/01
Biochemistry & Molecular Biology,11,01/01/02
Biochemistry & Molecular Biology,13,01/01/03
Biochemistry & Molecular Biology,20,01/01/04
Biochemistry & Molecular Biology,25,01/01/05
Biochemistry & Molecular Biology,10,01/01/06
Biochemistry & Molecular Biology,8,01/01/07
Biochemistry & Molecular Biology,7,01/01/08
Biochemistry & Molecular Biology,11,01/01/09
Biochemistry & Molecular Biology,15,01/01/10
Biochemistry & Molecular Biology,15,01/01/11
Biochemistry & Molecular Biology,13,01/01/12
Biochemistry & Molecular Biology,5,01/01/13
Biochemistry & Molecular Biology,11,01/01/14
Biochemistry & Molecular Biology,20,01/01/15
Biochemistry & Molecular Biology,11,01/01/16
Biodiversity Conservation,3,01/01/00
Biodiversity Conservation,1,01/01/01
Biodiversity Conservation,1,01/01/02
Biodiversity Conservation,4,01/01/03
